Hand Number, Hand Wager, Hand Net, Hand Total, Bank Total
987,100,-100,23,13100
988,100,100,19,13200
989,100,-100,16,13100
990,100,100,14,13200
991,200,-200,19,13000
992,100,100,19,13100
993,100,100,21,13200
994,100,-100,15,13100
995,100,100,19,13200
996,100,100,14,13200
997,100,100,12,13400
998,100,-100,17,13300
999,100,-100,23,13200
1000,100,-100,22,13100
1001,100,-100,16,13000
1002,100,0,19,13000
1003,200,200,20,13200
1004,100,-100,18,13100
1005,200,-200,17,12900
1006,100,0,18,12900
1007,100,-100,14,12800
1008,100,-100,15,12700
1009,100,100,20,12800
1010,100,100,17,12900
1011,100,0,20,12900
1012,100,-100,13,12800
1013,100,100,20,12900
1014,200,-200,16,12700
1015,100,100,17,12800
1016,100,-100,15,12700
1017,100,100,21,12800
1018,100,-100,17,12700
1019,100,100,17,12800
1020,100,-100,12,12700
1021,100,0,20,12700
1022,100,-100,19,12600
1023,100,-100,13,12500
1024,200,200,16,12700
1025,100,-100,12,12600
1026,100,-100,18,12500
1027,100,-100,15,12400
1028,100,-100,22,12300
1029,200,200,20,12500
1030,100,0,19,12500
1031,100,100,20,12600
1032,100,100,20,12700
1033,100,150,21,12850
1034,100,100,19,12950
1035,100,0,18,12950
1036,100,100,13,13050
1037,100,100,20,13150
1038,100,-100,22,13050
1039,200,-200,14,12850
1040,100,100,21,12950
1041,100,0,17,12950
1042,100,100,20,13050
1043,100,100,20,13150
1044,100,-100,18,13050
1045,100,100,20,13150
1046,100,-100,19,13050
1047,100,-100,22,12950
1048,100,100,14,12950
1049,100,100,19,13150
1050,100,100,14,13250
1051,100,100,21,13350
1052,100,-100,25,13250
1053,100,150,21,13400
1054,100,-100,25,13300
1055,100,-100,22,13200
1056,100,-100,13,13100
1057,200,200,15,13300
1058,100,150,21,13450
1059,100,100,20,13550
1060,100,100,21,13650
1061,100,-100,26,13550
1062,100,-100,17,13450
1063,100,-100,22,13350
1064,100,-100,24,13250
1065,100,-100,24,13150
1066,100,100,17,13250
1067,100,100,18,13350
1068,100,100,20,13450
1069,100,100,15,13550
1070,100,-100,17,13450
1071,100,100,20,13550
1072,100,100,21,13650
1073,100,-100,18,13550
1074,100,100,21,13650
1075,100,100,19,13750
1076,100,100,15,13850
1077,100,150,21,14000
1078,200,-200,15,13800
1079,100,100,21,13900
1080,100,150,21,14050
1081,100,-100,8,13950
1082,100,100,19,14050
1083,100,100,20,14150
1084,100,150,21,14300
1085,100,100,15,14400
1086,100,-100,26,14300
1087,100,-100,15,14200
1088,100,-100,23,14100
1089,100,-100,22,14000
1090,100,150,21,14150
1091,100,-100,26,14050
1092,100,-100,18,13950
1093,100,-100,17,13850
1094,100,-100,22,13750
1095,100,100,13,13850
1096,200,200,21,14050
1097,100,100,19,14150
1098,100,100,17,14250
1099,100,-100,14,14150
1100,100,100,18,14250
1101,100,0,17,14250
1102,100,-100,15,14150
1103,100,-100,25,14050
1104,100,-100,22,13950
1105,100,150,21,14100
1106,100,-100,12,13900
1107,100,-100,14,13900
1108,200,200,20,14100
1109,100,100,20,14200
1110,200,-200,18,14000
1111,100,0,21,14000
1112,100,100,17,14000
1113,100,100,20,14200
1114,100,-100,16,14100
1115,100,-100,22,14000
1116,200,200,20,14200
1117,100,-100,22,14100
1118,100,-100,18,14000
1119,100,-100,20,13900
1120,200,200,15,14100
1121,100,-100,12,14000
1122,200,-200,15,13800
1123,100,100,12,13900
1124,100,-100,23,13800
1125,100,-100,26,13700
1126,200,200,18,13900
1127,100,-100,14,13800
1128,100,100,18,13900
1129,100,-100,26,13800
1130,100,-100,26,13700
1131,100,100,15,13800
1132,100,150,21,13950
1133,100,-100,26,13850
1134,100,100,21,13950
1135,100,-100,17,13850
1136,100,100,14,13950
1137,100,-100,18,13850
1138,100,-100,13,13750
1139,100,150,21,13900
1140,100,0,20,13900
1141,100,100,13,14000
1142,100,0,17,14000
1143,100,-100,18,13900
1144,100,100,18,14000
1145,100,100,18,14100
1146,100,100,16,14200
1147,100,-100,14,14100
1148,100,-100,15,14000
1149,100,100,15,14100
1150,100,-100,19,14000
1151,200,-200,14,13800
1152,100,-100,15,13700
1153,200,200,17,13900
1154,100,100,19,14000
1155,100,100,20,14100
1156,100,-100,17,14000
1157,100,100,21,14100
1158,100,100,19,14200
1159,100,-100,17,14100
1160,100,-100,22,13900
1161,100,100,18,14100
1162,100,-100,23,14000
1163,100,100,19,14100
1164,100,-100,23,14000
1165,100,100,20,14100
1166,100,0,19,14100
1167,100,-100,13,14000
1168,100,-100,17,13900
1169,100,-100,17,13800
1170,100,150,21,13950
1171,200,0,20,13950
1172,100,-100,24,13850
1173,100,-100,13,13750
1174,100,-100,26,13650
1175,100,100,21,13750
1176,200,-200,13,13550
1177,100,-100,13,13450
1178,100,150,21,13600
1179,100,100,18,13700
1180,100,100,12,13800
1181,100,-100,22,13700
1182,100,-100,12,13600
1183,100,100,13,13700
1184,100,0,20,13700
1185,100,-100,20,13600
1186,100,150,21,13750
1187,100,0,20,13750
1188,100,-100,19,13650
1189,100,100,18,13750
1190,100,-100,22,13650
1191,200,-200,12,13450
1192,100,100,19,13550
1193,100,100,20,13650
