Hand Number, Hand Wager, Hand Net, Hand Total, Bank Total
615,100,100,20,11050
616,100,-100,22,10950
617,100,100,20,11050
618,100,-100,17,10950
619,100,100,18,11050
620,100,100,21,11150
621,100,100,18,11250
622,100,-100,18,11150
623,100,-100,22,11050
624,100,100,19,11150
625,100,100,18,11250
626,100,100,21,11350
627,100,100,20,11450
628,100,-100,17,11350
629,100,100,16,11450
630,100,-100,15,11350
631,100,100,17,11450
632,100,-100,14,11350
633,100,100,21,11450
634,100,0,20,11450
635,100,-100,13,11350
636,200,200,21,11550
637,100,100,20,11650
638,100,150,21,11800
639,100,-100,23,11700
640,100,-100,17,11600
641,100,100,16,11700
642,100,-100,18,11600
643,100,100,21,11700
644,100,-100,14,11600
645,100,-100,23,11500
646,100,-100,24,11400
647,100,100,20,11500
648,100,0,17,11500
649,100,-100,14,11400
650,200,-200,17,11200
651,100,100,20,11300
652,100,-100,20,11200
653,100,-100,23,11100
654,100,-100,16,11000
655,100,-100,19,10900
656,100,-100,23,10800
657,100,150,21,10950
658,100,-100,24,10850
659,100,100,21,10950
660,100,100,17,11050
661,100,-100,22,10950
662,100,-100,23,10850
663,100,100,20,10950
664,100,100,20,11050
665,100,-100,24,10950
666,100,-100,26,10850
667,100,100,15,10950
668,100,0,20,10950
669,100,100,19,11050
670,100,-100,17,10950
671,100,150,21,11100
672,100,150,21,11250
673,200,-200,18,11050
674,100,100,20,11150
675,100,100,13,11250
676,100,100,20,11350
677,100,-100,25,11250
678,100,100,20,11350
679,100,100,20,11450
680,100,100,13,11550
681,100,-100,12,11450
682,100,100,21,11550
683,100,-100,18,11450
684,100,100,13,11550
685,100,-100,14,11450
686,100,-100,18,11350
687,100,100,13,11450
688,100,-100,15,11350
689,100,-100,16,11250
690,200,200,13,11450
691,200,-200,15,11250
692,100,100,20,11350
693,100,-100,14,11250
694,100,-100,18,11150
695,100,100,18,11250
696,100,0,17,11250
697,100,100,17,11350
698,100,-100,24,11250
699,200,-200,15,11050
700,100,100,20,11150
701,100,-100,23,11050
702,100,100,20,11150
703,100,100,17,11250
704,100,-100,15,11150
705,100,-100,16,11050
706,100,0,17,11050
707,100,-100,26,10950
708,100,0,20,10950
709,100,-100,22,10850
710,100,-100,25,10750
711,100,100,19,10850
712,100,150,21,11000
713,100,100,20,11100
714,100,-100,24,11000
715,100,-100,23,10900
716,100,-100,22,10800
717,100,100,20,10900
718,100,100,18,11000
719,100,-100,19,10900
720,100,0,17,10900
721,100,100,18,11000
722,100,-100,15,10900
723,100,100,14,11000
724,100,100,15,11100
725,100,0,19,11100
726,100,-100,24,11000
727,100,100,19,11100
728,100,-100,23,11000
729,100,100,16,11100
730,100,-100,15,11000
731,100,100,21,11100
732,100,-100,22,11000
733,200,-200,13,10800
734,100,-100,23,10700
735,100,-100,25,10600
736,100,-100,14,10500
737,100,100,21,10600
738,100,-100,13,10500
739,100,-100,14,10400
740,100,-100,17,10300
741,100,-100,26,10200
742,100,-100,23,10100
743,200,200,13,10300
744,100,-100,26,10200
745,100,-100,26,10100
746,100,-100,24,10000
747,100,-100,12,9800
748,100,-100,12,9800
749,100,100,19,9900
750,200,200,21,10100
751,100,-100,23,10000
752,100,100,20,10100
753,100,-100,15,10000
754,100,-100,17,9900
755,100,-100,13,9800
756,100,-100,20,9700
757,100,-100,24,9600
758,100,-100,22,9500
759,200,200,21,9700
760,100,100,19,9800
761,100,100,19,9800
762,100,100,19,10000
763,100,-100,24,9900
764,200,-200,15,9700
765,200,-200,15,9500
766,100,100,20,9600
767,100,-100,23,9500
768,100,100,16,9500
769,100,100,13,9700
770,100,100,20,9800
771,100,-100,18,9700
772,100,-100,22,9600
773,100,-100,11,9500
774,100,-100,18,9400
775,100,100,20,9500
776,100,-100,15,9400
777,100,100,20,9500
778,200,-200,13,9300
779,100,150,21,9450
780,200,200,21,9650
781,100,-100,18,9550
782,100,100,20,9650
783,100,0,18,9650
784,100,-100,23,9550
785,200,200,21,9750
786,100,-100,13,9650
787,100,100,20,9750
788,100,-100,25,9650
789,100,100,20,9750
790,100,100,21,9850
791,100,0,20,9850
792,100,0,19,9850
